State,Anxiety_Aug_Sep_2020,Anxiety_Dec_2020_Jan_2021,anxiety_May_Jun_2021,Depression_Aug_Sep_2020,Depression_Dec_2020_Jan 18_2021,depression_May_Jun_2021,legalized,alcohol,tobacco,marijuana,party,covid
Alabama,2.02,2.38,1.75,1.73,1.99,1.48,0,41.92,27.32,7.77,1,0
Alaska,1.84,2.24,1.51,1.54,1.89,1.29,1,54.81,26.14,22.52,1,0.04440497336
Arizona,2.05,2.16,1.82,1.77,1.92,1.5,1,49.44,21.87,19.09,1,0.05238344683
Arkansas,2.06,2.35,1.73,1.74,1.92,1.51,1,42.42,28.4,9.72,1,0.1028806584
California,2.12,2.45,1.73,1.8,2.06,1.51,1,49.5,14.16,15.15,0,0.06600660066
Colorado,2.04,2.3,1.78,1.64,1.9,1.41,1,59.6,19.87,19.77,0,0.05058168943
Connecticut,2.09,2.39,1.53,1.61,1.97,1.21,1,61.01,17.74,14.28,0,0.0700280112
Delaware,1.84,2.26,1.74,1.58,1.9,1.43,1,54.86,21.21,15.86,0,0.0630517024
District of Columbia,2.05,2.1,1.59,1.59,1.58,1.35,1,64.29,16.03,22.61,0,0.0442282176
Florida,2.1,2.31,1.67,1.73,1.85,1.36,0,53.26,19.24,11.26,1,0
Georgia,1.96,2.32,1.78,1.63,1.93,1.5,1,47.79,24.23,12.1,1,0.0826446281
Hawaii,2.17,2.02,1.81,1.8,1.66,1.47,0,46.34,14.58,9.83,0,0
Idaho,1.91,2.18,1.59,1.54,1.88,1.23,1,45.84,21.88,10.78,1,0.09276437848
Illinois,2.04,2.27,1.64,1.62,1.79,1.43,0,53.64,21.42,15.54,0,0
Indiana,1.95,2.11,1.67,1.56,1.75,1.45,0,48.3,26.08,12.46,1,0
Iowa,1.82,2.14,1.57,1.5,1.87,1.38,0,58.69,25.54,11.95,1,0
Kansas,1.9,2.18,1.53,1.52,1.86,1.3,0,54.23,28.16,12.91,0,0
Kentucky,2.13,2.36,1.64,1.81,2,1.57,1,42.41,36.22,10.39,0,0.09624639076
Louisiana,2.25,2.49,1.86,1.83,2.11,1.56,1,48.02,29.96,13.6,0,0.07352941176
Maine,2.14,2.28,1.54,1.63,1.81,1.39,1,52.63,22.55,19.37,0,0.05162622612
Maryland,1.92,2.21,1.56,1.56,1.84,1.25,1,54.65,17.74,14.87,1,0.06724949563
Massachusetts,1.98,2.27,1.62,1.52,1.79,1.36,1,55.92,16.96,18.14,1,0.05512679162
Michigan,2.01,2.42,1.49,1.62,2.07,1.34,1,55.11,23.83,19.27,0,0.05189413596
Minnesota,1.79,2.04,1.51,1.38,1.69,1.29,0,57.91,21.35,13.62,0,0
Mississippi,1.98,2.47,1.96,1.71,2.2,1.74,0,40.83,28,12.39,1,0
Missouri,1.9,2.28,1.88,1.58,1.93,1.63,1,50.43,30.42,15.07,1,0.06635700066
Montana,1.89,2.34,1.31,1.46,1.88,1.21,0,58.47,24,16.31,0,0
Nebraska,1.71,1.95,1.29,1.45,1.74,1.1,1,58.02,22.38,10.37,1,0.09643201543
Nevada,2.15,2.4,1.88,1.78,2.1,1.66,1,50.87,22.96,19.29,0,0.05184033178
New Hampshire,1.97,2.1,1.75,1.52,1.67,1.6,1,62.85,19.77,13.04,1,0.07668711656
New Jersey,2.07,2.27,1.73,1.61,1.87,1.46,1,56.09,14.56,12.47,0,0.08019246191
New Mexico,2.26,2.39,1.8,1.86,2.07,1.63,1,49.38,23.69,18.98,0,0.05268703899
New York,2.07,2.22,1.63,1.65,1.82,1.49,0,50.86,17.52,16.13,0,0
North Carolina,1.94,2.27,1.79,1.52,1.87,1.56,1,47.97,24.39,10.26,0,0.09746588694
North Dakota,1.55,1.94,1.46,1.21,1.56,1.37,0,61.21,26.78,10.4,1,0
Ohio,2.02,2.29,1.64,1.75,2.11,1.48,0,55.19,27.92,14.43,1,0
Oklahoma,2.1,2.49,1.76,1.72,2.09,1.56,1,45.88,28.74,17.39,1,0.05750431282
Oregon,2.25,2.5,1.85,1.78,2.12,1.57,1,58.95,20.67,19.34,0,0.05170630817
Pennsylvania,1.99,2.21,1.73,1.62,1.95,1.38,1,54.82,21.91,13.26,0,0.0754147813
Rhode Island,1.99,2.32,1.62,1.59,1.85,1.4,0,57.31,19.71,18.17,0,0
South Carolina,1.75,2.23,1.72,1.44,1.83,1.5,0,51.35,24.48,10.95,1,0
South Dakota,1.57,1.9,1.51,1.3,1.6,1.42,0,58.37,23.65,8.91,1,0
Tennessee,1.99,2.25,1.61,1.67,1.95,1.38,0,47.38,27.99,10.38,1,0
Texas,1.97,2.25,1.79,1.67,1.92,1.54,0,50.1,20.87,8.24,1,0
Utah,1.82,2.14,1.53,1.48,1.8,1.31,1,34.64,15.3,9.75,1,0.1025641026
Vermont,1.97,2.23,1.57,1.55,1.73,1.41,0,60.33,24.21,23.27,1,0
Virginia,1.94,2.26,1.67,1.6,1.88,1.49,1,55.27,19.68,12.76,0,0.07836990596
Washington,2.02,2.34,1.78,1.6,1.97,1.54,0,50.9,18.68,19.17,0,0
West Virginia,2.02,2.58,1.77,1.67,2.33,1.51,0,35.05,31.92,12.34,1,0
Wisconsin,1.79,2.11,1.46,1.46,1.73,1.12,0,62.15,20.49,11.68,0,0
Wyoming,1.94,2.19,1.32,1.5,1.72,1.23,0,52.13,28.5,11.26,1,0
